Coefficient of Variation,Mean,Standard Deviation,Ratio of Assigned CourseSeats,Allocation Type
2.047654232634171,0.09182224025974026,0.1880201989178089,0.08695652173913043,Random from set of trainers
1.2211837651551494,0.09735299422799423,0.11888589604046952,0.16521739130434782,Random from set of trainers
1.6416015058571198,0.04422799422799423,0.07260474192571532,0.06956521739130435,Random from set of trainers
1.9521170656150861,0.06292162698412698,0.12283038183198099,0.09565217391304348,Random from set of trainers
1.1865723290805448,0.08489583333333332,0.10073504668756707,0.14782608695652175,Random from set of trainers
1.348751914261249,0.114193272005772,0.1540183942135405,0.1565217391304348,Random from set of trainers
1.4205811871193914,0.07852858946608945,0.1115562368465487,0.09565217391304348,Random from set of trainers
1.8955634315367431,0.04112103174603174,0.07794752404483928,0.10434782608695652,Random from set of trainers
1.5403745907751853,0.0792906746031746,0.12213734044415345,0.09565217391304348,Random from set of trainers
1.2833919290332625,0.0869047619047619,0.11153287002312876,0.13043478260869565,Random from set of trainers
1.2617435090193807,0.10647997835497833,0.13435042152991805,0.14782608695652175,Random from set of trainers
1.468706492806548,0.06772186147186147,0.09946353764866857,0.12173913043478261,Random from set of trainers
1.4369900782871678,0.1145720598845599,0.16463891330303582,0.1391304347826087,Random from set of trainers
1.3015383984612103,0.08289366883116883,0.10788929297309344,0.10434782608695652,Random from set of trainers
1.0862858723039122,0.10481827200577201,0.11386260803917879,0.13043478260869565,Random from set of trainers
1.9292786056095457,0.051370851370851366,0.09910868450173134,0.12173913043478261,Random from set of trainers
1.3308296116597556,0.07497519841269841,0.09977921418768455,0.10434782608695652,Random from set of trainers
1.2378853047289105,0.08462301587301588,0.1047535877910477,0.1565217391304348,Random from set of trainers
1.4257893693564496,0.11887400793650793,0.16948929680866723,0.13043478260869565,Random from set of trainers
1.8278561265111328,0.12850378787878786,0.23488643595412945,0.11304347826086956,Random from set of trainers
2.4016849131968394,0.03504464285714286,0.08416619003837138,0.06956521739130435,Random from set of trainers
1.6596046630120815,0.07743055555555556,0.12850411105961604,0.08695652173913043,Random from set of trainers
1.184657436354648,0.08071112914862914,0.09561503934250391,0.1565217391304348,Random from set of trainers
1.6133755501899087,0.05555555555555556,0.0896319750105505,0.10434782608695652,Random from set of trainers
1.4348928761341013,0.10154446248196247,0.14570542582623447,0.10434782608695652,Random from set of trainers
1.2520491449264917,0.12953418109668108,0.16218316068085287,0.17391304347826086,Random from set of trainers
2.7976869030544522,0.019593253968253968,0.0548157900152038,0.06086956521739131,Random from set of trainers
1.591578508123519,0.1261656746031746,0.20080257616131797,0.1391304347826087,Random from set of trainers
2.1008768278800587,0.05756448412698414,0.12093589081125042,0.10434782608695652,Random from set of trainers
1.7172283924193295,0.09948593073593073,0.1708400649060031,0.08695652173913043,Random from set of trainers
1.4032616347480023,0.0826772186147186,0.11601776894970799,0.08695652173913043,Random from set of trainers
1.7280156280077688,0.0652281746031746,0.11271530510070514,0.0782608695652174,Random from set of trainers
1.9568124875794886,0.06347402597402599,0.12420676666291887,0.08695652173913043,Random from set of trainers
1.832831494817342,0.05251172438672438,0.09624514230315631,0.06956521739130435,Random from set of trainers
1.2530802035058117,0.09558531746031745,0.11977606905534222,0.13043478260869565,Random from set of trainers
1.395041668176416,0.04745896464646464,0.06620723321032958,0.09565217391304348,Random from set of trainers
1.3762557720244581,0.09910714285714285,0.1363967774059954,0.12173913043478261,Random from set of trainers
1.8861805271457415,0.04975874819624819,0.09385398190291162,0.06086956521739131,Random from set of trainers
1.3774274609609671,0.08227362914862915,0.11332595610224047,0.11304347826086956,Random from set of trainers
1.7191522968121768,0.07103851010101012,0.12212601780226656,0.10434782608695652,Random from set of trainers
1.4112532011232146,0.07674287518037518,0.10830362826170375,0.09565217391304348,Random from set of trainers
1.5225918152216127,0.0721613455988456,0.10987227418418045,0.12173913043478261,Random from set of trainers
1.3545189814169531,0.09191468253968253,0.1245001821709134,0.11304347826086956,Random from set of trainers
1.150630092615286,0.13029626623376625,0.1499228048839844,0.14782608695652175,Random from set of trainers
1.369752915212875,0.07361787518037519,0.10083829914009645,0.11304347826086956,Random from set of trainers
1.2153820613356523,0.09641053391053392,0.11717563343865553,0.16521739130434782,Random from set of trainers
